arxiv_id;title;published;authors;pdf_link;summary;last_updated
http://arxiv.org/abs/2601.05178v1;Multi-band Carrier Phase Positioning toward 6G: Performance Bounds and Efficient Estimators;2026-01-08T18:03:28Z;Ehsan Shourezari, Ossi Kaltiokallio, Mehmet C. Ilter, Jukka Talvitie, Gonzalo Seco-Granados, Henk Wymeersch, Mikko Valkama;https://arxiv.org/pdf/2601.05178v1;In addition to satellite systems, carrier phase positioning (CPP) is gaining attraction also in terrestrial mobile networks, particularly in 5G New Radio evolution toward 6G. One key challenge is to resolve the integer ambiguity problem, as the carrier phase provides only relative position information. This work introduces and studies a multi-band CPP scenario with intra- and inter-band carrier aggregation (CA) opportunities across FR1, mmWave-FR2, and emerging 6G FR3 bands. Specifically, we der...;2026-01-10 17:59:43
http://arxiv.org/abs/2601.04817v1;Towards Sustainable 6G: A Holistic View of Trade-offs and Enablers;2026-01-08T10:53:47Z;Mattia Merluzzi, Olivier Bouchet, Ali Balador, Gilles Callebaut, Anastasius Gavras, Liesbet Van der Perre, Albert Banchs, Mauro Renato Boldi, Emilio Calvanese Strinati, Bahare M Khorsandi, Marja Matinmikko-Blue, Lars Christoph Schmelz;https://arxiv.org/pdf/2601.04817v1;The sixth generation of mobile networks (6G) can play a central role in shaping a sustainable future, the most compelling contemporary challenge. Connecting the unconnected, reducing carbon emissions of vertical sectors, and allowing heterogeneous types of intelligence (including humans) to safely and constructively interact in complex environments, are only a few of the several challenges that can be supported by 6G. However, this requires a careful design that balances positive and negative im...;2026-01-10 17:59:43
http://arxiv.org/abs/2601.04599v1;MIMO Beam Map Reconstruction via Toeplitz-Structured Matrix-Vector Tensor Decomposition;2026-01-08T05:03:03Z;Hao Sun, Junting Chen, Xianghao Yu;https://arxiv.org/pdf/2601.04599v1;As wireless networks progress toward sixthgeneration (6G), understanding the spatial distribution of directional beam coverage becomes increasingly important for beam management and link optimization. Multiple-input multipleoutput (MIMO) beam map provides such spatial awareness, yet accurate construction under sparse measurements remains difficult due to incomplete spatial coverage and strong angular variations. This paper presents a tensor decomposition approach for reconstructing MIMO beam map...;2026-01-10 17:59:43
http://arxiv.org/abs/2601.04042v1;Badanie Sieci Massive MIMO o Architekturze Zorientowanej na Uzytkownika;2026-01-07T15:58:32Z;Marcin Hoffmann;https://arxiv.org/pdf/2601.04042v1;The future 6G networks are expected to utilize large antenna arrays and follow the user-centric architecture, where the user is being served by all base stations. This work evaluates such a system within an advanced system-level simulator, which utilizes an accurate 3D Ray-Tracing radio channel model. Results show that the novel user-centric network architecture can increase the cell-edge users throughput by a fold of 3....;2026-01-10 17:59:43
http://arxiv.org/abs/2601.04011v1;Flexible-Duplex Cell-Free Architecture for Secure Uplink Communications in Low-Altitude Wireless Networks;2026-01-07T15:20:26Z;Wei Shi, Wei Xu, Yongming Huang, Jiacheng Yao, Wenhao Hu, Dongming Wang;https://arxiv.org/pdf/2601.04011v1;Low-altitude wireless networks (LAWNs) are expected to play a central role in future 6G infrastructures, yet uplink transmissions of uncrewed aerial vehicles (UAVs) remain vulnerable to eavesdropping due to their limited transmit power, constrained antenna resources, and highly exposed air-ground propagation conditions. To address this fundamental bottleneck, we propose a flexible-duplex cell-free (CF) architecture in which each distributed access point (AP) can dynamically operate either as a r...;2026-01-10 17:59:43
http://arxiv.org/abs/2601.03601v1;F$^4$-CKM: Learning Channel Knowledge Map with Radio Frequency Radiance Field Rendering;2026-01-07T05:31:10Z;Kequan Zhou, Guangyi Zhang, Hanlei Li, Yunlong Cai, Shengli Liu, Guanding Yu;https://arxiv.org/pdf/2601.03601v1;In 6G mobile communications, acquiring accurate and timely channel state information (CSI) becomes increasingly challenging due to the growing antenna array size and bandwidth. To alleviate the CSI feedback burden, the channel knowledge map (CKM) has emerged as a promising approach by leveraging environment-aware techniques to predict CSI based solely on user locations. However, how to effectively construct a CKM remains an open issue. In this paper, we propose F$^4$-CKM, a novel CKM constructio...;2026-01-10 17:59:43
http://arxiv.org/abs/2601.03535v1;OpenISAC: An Open-Source Real-Time Experimentation Platform for OFDM-ISAC with Over-the-Air Synchronization;2026-01-07T02:48:21Z;Zhiwen Zhou, Chaoyue Zhang, Xiaoli Xu, Yong Zeng;https://arxiv.org/pdf/2601.03535v1;Integrated sensing and communication (ISAC) is envisioned to be one of the key usage scenarios for the sixth generation (6G) mobile communication networks. While significant progresses have been achieved for the theoretical studies, the further advancement of ISAC is hampered by the lack of accessible, open-source, and real-time experimental platforms. To address this gap, we introduce OpenISAC, a versatile and high-performance open-source platform for real-time ISAC experimentation. OpenISAC ut...;2026-01-10 17:59:43
http://arxiv.org/abs/2601.03427v1;Foundation Model-Aided Hierarchical Control for Robust RIS-Assisted Near-Field Communications;2026-01-06T21:32:16Z;Mohammad Ghassemi, Han Zhang, Ali Afana, Akram Bin Sediq, Melike Erol-Kantarci;https://arxiv.org/pdf/2601.03427v1;The deployment of extremely large aperture arrays (ELAAs) in sixth-generation (6G) networks could shift communication into the near-field communication (NFC) regime. In this regime, signals exhibit spherical wave propagation, unlike the planar waves in conventional far-field systems. Reconfigurable intelligent surfaces (RISs) can dynamically adjust phase shifts to support NFC beamfocusing, concentrating signal energy at specific spatial coordinates. However, effective RIS utilization depends on ...;2026-01-10 17:59:43
http://arxiv.org/abs/2601.03084v1;A Conditional Variational Framework for Channel Prediction in High-Mobility 6G OTFS Networks;2026-01-06T15:15:58Z;Mohsen Kazemian, Jürgen Jasperneite;https://arxiv.org/pdf/2601.03084v1;This paper proposes a machine learning (ML) based method for channel prediction in high mobility orthogonal time frequency space (OTFS) channels. In these scenarios, rapid variations caused by Doppler spread and time varying multipath propagation lead to fast channel decorrelation, making conventional pilot based channel estimation methods prone to outdated channel state information (CSI) and excessive overhead. Therefore, reliable channel prediction methods become essential to support robust de...;2026-01-10 17:59:43
http://arxiv.org/abs/2601.02827v2;AI-Native 6G Physical Layer with Cross-Module Optimization and Cooperative Control Agents;2026-01-06T08:59:31Z;Xufei Zheng, Han Xiao, Shi Jin, Zhiqin Wang, Wenqiang Tian, Wendong Liu, Jianfei Cao, Jia Shen, Zhihua Shi, Zhi Zhang, Ning Yang;https://arxiv.org/pdf/2601.02827v2;In this article, a framework of AI-native cross-module optimized physical layer with cooperative control agents is proposed, which involves optimization across global AI/ML modules of the physical layer with innovative design of multiple enhancement mechanisms and control strategies. Specifically, it achieves simultaneous optimization across global modules of uplink AI/ML-based joint source-channel coding with modulation, and downlink AI/ML-based modulation with precoding and corresponding data ...;2026-01-10 17:59:43
